Split,Accuracy,Precision,Recall,F1-Score,ROC-AUC
train,0.8588,0.8728118529672753,0.8966326897047043,0.8845619294181769,0.9344389421251234
validation,0.85515,0.8660612011127475,0.8936260025327142,0.8796277059874517,0.9328047571340317
test,0.8546,0.8657984144960362,0.8954986613119144,0.8803981245373036,0.933470888607445
